Facility Name,Address 1,Address 2,Address 3,City,State,Zip Code,Phone,Fax,,,,
Ohana Memorials Mammography Services,1515 W Yakima Ave.,,,Yakima,WA,98902,509574-3863,509249-5319,,,,
31 Medical Group Aviano AB, Italy,31 Medical Group,Unit 6180,,Air Post Office,AE,9604,3.90434E+11,3904343,,,
35th Medical Group Misawa AB Japan,Unit 5024,,,APO,AP,96319-5300,8.13118E+11,8117677,,,,
374th MDG Unit 5225 SGCR Yokota AB APO AP 96328,Unit 5225 SGCR,374th Medical Group,,APO,AP,96328,425522510,425302026,,,,
375th Medical Group,310 W Losey St.,,,Scott AFB,IL,62225-5252,618256-1494,618256-7253,,,,
3D Mammography of Southwest Montana, Inc.,800 W. Platinum,Unit D,,Butte,MT,59701,406299-3302,406299-3304,,,
3T Imaging of Morton Grove,9000 Waukengan Rd Ste 110,,,Morton Grove,IL,60053,847213-2700,847213-2709,,,,
48th Medical Group 48 MSGS/SGCR,Unit 5115,48 MSGS/SGCR,,APO,AE,09461-5115,4.41639E+11,4416385,,,,
56th Medical Group/SGSS, Luke AFB,7219 N. Litchfield Road,Luke Air Force Base,,Luke AFB,AZ,85309-1525,623856-7618,623856-4009,,,
88th Med. Group DTS/ SGQQ Wright Patterson Med. Ctr,4881 Sugar Maple Dr,,,Wright Patterson AFB,OH,45433,937257-2168,937257-5229,,,,
A Woman's View,915 Tate Blvd,Suite 170,,Hickory,NC,28602,828345-0800,828485-5579,,,,
A Womans Place Naples, LLC,1660 Medical Blvd,Suite 100,,Naples,FL,34110,239513-0053,239596-0900,,,
A. O. Fox Memorial Hospital,One Norton Avenue,,,Oneonta,NY,13820,607431-5015,607431-5102,,,,
Abbeville Area Medical Center,420 Thomson Circle,,,Abbeville,SC,29620,864366-33193,864366-3373,,,,
Abbeville General Off-Site Imaging Center,2621 North Drive,,,Abbeville,LA,70515,337898-1249,337892-1238,,,,
Abbott Northwestern Hospital Piper Breast Center,800 E. 28th Street,Piper Bldg., Suite 402,,Minneapolis,MN,55407-3799,612863-1248,612863-3286,,,
Abercrombie Radiological Consultants,1112 Weisgarber Road,,Kella Whitaker,Knoxville,TN,37909,865584-3444,865824-0038,,,,
Abington Health - Mary T Sachs Breast Imaging Ctr,2701 Blair Mill Rd, Ste. 4,Schilling Campus,,Willow Grove,PA,19090,215481-3926,215481-5416,,,
Abington Health Center - Warminster Campus,215 Newtown Rd,,,Warminster,PA,18974,215481-3926,215481-6916,,,,
Abington Health Center at Blue Bell,721 Arbor Way,,,Blue Bell,PA,19422,215481-3926,215481-5416,,,,
Abington Health Lansdale Hospital,100 Medical Campus Drive,,,Lansdale,PA,19446,215361-4862,215361-4641,,,,
Abington Memorial Hospital,1200 Old York Rd.,Department of Radiology,,Abington,PA,19001,215481-3926,215481-2183,,,,
Abrom Kaplan Memorial Hospital,1310 W 7th St,,,Kaplan,LA,70548,337643-5277,337643-5230,,,,
Acadian Plaza Diagnostic Ctr - Memorial Hosp Gulfport,12261 HWY 49, Ste 12,,,Gulfport,MS,39503,228867-4395,228867-4288,,,
Acadiana Imaging Services,1122 South Bernard Road,Suite A,,Broussard,LA,70518,337703-6441,337703-6430,,,,
Ackerman Cancer Center,Medical Office Bldg A,1340 South 18th Street   Suite 103,,Amelia Island,FL,32034,904277-2700,904277-2220,,,,
Ackerman Cancer Center,10881 San Jose Blvd,,,Jacksonville,FL,32223,904880-55222146,904880-5533,,,,
ACP Northwest Imaging Center,2191 W Orange Grove Road,,,Tucson,AZ,85741,520547-3940,520547-3945,,,,
AD Hospital East, LLC,dba River Oakes Hospital and Clinics,4200 Twelve Oaks Place,,Houston,TX,77027,713980-7900,713600-1786,,,
AD Hospital East, LLC,dba Advanced Imaging & Breast Center,12890 East Freeway,,Houston,TX,77015,713848-4790,,,,
